id,parent,focus,signal,slack,drag,confidence,score,lane,kind,invariant,mutation
m001,g001,turn pressure,47,72,45,52,299,ship,baseline,monotonic-signal,raise-signal
m002,g002,map entropy,85,0,27,88,377,ship,edge,drag-penalty,drop-slack
m003,g003,collision risk,112,16,27,90,494,ship,recovery,confidence-floor,raise-drag
m004,g004,visibility,85,22,39,60,341,ship,negative,lane-boundary,lower-confidence
m005,g005,turn pressure,40,27,8,26,210,ship,baseline,monotonic-signal,raise-signal
m006,g006,map entropy,51,21,36,93,309,ship,edge,drag-penalty,drop-slack
m007,g007,collision risk,109,37,37,45,417,ship,recovery,confidence-floor,raise-drag
m008,g008,visibility,53,77,8,12,321,ship,negative,lane-boundary,lower-confidence
m009,g009,turn pressure,126,30,40,63,484,ship,baseline,monotonic-signal,raise-signal
m010,g010,map entropy,108,0,16,43,378,ship,edge,drag-penalty,drop-slack
m011,g011,collision risk,63,36,33,81,357,ship,recovery,confidence-floor,raise-drag
m012,g012,visibility,44,52,12,91,394,ship,negative,lane-boundary,lower-confidence
m013,g013,turn pressure,91,62,32,77,487,ship,baseline,monotonic-signal,raise-signal
m014,g014,map entropy,105,59,39,68,491,ship,edge,drag-penalty,drop-slack
m015,g015,collision risk,76,76,51,68,414,ship,recovery,confidence-floor,raise-drag
m016,g016,visibility,65,12,27,60,285,ship,negative,lane-boundary,lower-confidence
m017,g017,turn pressure,116,52,41,80,530,ship,baseline,monotonic-signal,raise-signal
m018,g018,map entropy,87,29,7,45,395,ship,edge,drag-penalty,drop-slack
m019,g019,collision risk,81,71,20,75,495,ship,recovery,confidence-floor,raise-drag
m020,g020,visibility,37,19,17,38,191,ship,negative,lane-boundary,lower-confidence
m021,g021,turn pressure,72,66,21,87,480,ship,baseline,monotonic-signal,raise-signal
m022,g022,map entropy,79,11,24,89,389,ship,edge,drag-penalty,drop-slack
m023,g023,collision risk,91,72,34,72,493,ship,recovery,confidence-floor,raise-drag
m024,g024,visibility,56,65,30,12,262,ship,negative,lane-boundary,lower-confidence
m025,g025,turn pressure,51,22,12,92,357,ship,baseline,monotonic-signal,raise-signal
m026,g026,map entropy,39,34,5,44,263,ship,edge,drag-penalty,drop-slack
m027,g027,collision risk,85,24,31,24,289,ship,recovery,confidence-floor,raise-drag
m028,g028,visibility,111,51,35,49,463,ship,negative,lane-boundary,lower-confidence
m029,g029,turn pressure,93,67,21,42,455,ship,baseline,monotonic-signal,raise-signal
m030,g030,map entropy,30,66,15,80,352,ship,edge,drag-penalty,drop-slack
m031,g031,collision risk,94,15,42,103,434,ship,recovery,confidence-floor,raise-drag
m032,g032,visibility,79,21,25,63,355,ship,negative,lane-boundary,lower-confidence
m033,g033,turn pressure,47,27,43,67,243,ship,baseline,monotonic-signal,raise-signal
m034,g034,map entropy,65,21,11,67,349,ship,edge,drag-penalty,drop-slack
m035,g035,collision risk,38,37,46,72,240,ship,recovery,confidence-floor,raise-drag
m036,g036,visibility,72,42,17,66,398,ship,negative,lane-boundary,lower-confidence
m037,g037,turn pressure,101,12,24,44,367,ship,baseline,monotonic-signal,raise-signal
m038,g038,map entropy,62,24,29,74,324,ship,edge,drag-penalty,drop-slack
m039,g039,collision risk,94,14,19,50,372,ship,recovery,confidence-floor,raise-drag
m040,g040,visibility,70,41,26,73,386,ship,negative,lane-boundary,lower-confidence
m041,g041,turn pressure,70,57,34,88,432,ship,baseline,monotonic-signal,raise-signal
m042,g042,map entropy,104,56,40,71,486,ship,edge,drag-penalty,drop-slack
m043,g043,collision risk,85,75,51,24,351,ship,recovery,confidence-floor,raise-drag
m044,g044,visibility,35,11,6,78,271,ship,negative,lane-boundary,lower-confidence
m045,g045,turn pressure,67,17,9,43,303,ship,baseline,monotonic-signal,raise-signal
m046,g046,map entropy,117,46,12,23,465,ship,edge,drag-penalty,drop-slack
m047,g047,collision risk,106,45,22,61,486,ship,recovery,confidence-floor,raise-drag
m048,g048,visibility,60,76,39,28,310,ship,negative,lane-boundary,lower-confidence
m049,g049,turn pressure,49,24,32,79,289,ship,baseline,monotonic-signal,raise-signal
m050,g050,map entropy,34,60,9,102,408,ship,edge,drag-penalty,drop-slack
m051,g051,collision risk,78,27,27,75,384,ship,recovery,confidence-floor,raise-drag
m052,g052,visibility,104,77,6,53,560,ship,negative,lane-boundary,lower-confidence
m053,g053,turn pressure,41,70,42,66,311,ship,baseline,monotonic-signal,raise-signal
m054,g054,map entropy,44,16,20,71,266,ship,edge,drag-penalty,drop-slack
m055,g055,collision risk,97,50,17,78,513,ship,recovery,confidence-floor,raise-drag
m056,g056,visibility,83,29,28,30,311,ship,negative,lane-boundary,lower-confidence
